== WUMPUS WORLD AGENT RESULT ==

Final score: -142
Gold collected: No
Total steps: 400

Action log:
Step  1: Pos (1, 0) - Action: MOVE            | Point: -1
Step 112: Pos (3, 1) - Action: TURN_LEFT       | Point: -46
Step 113: Pos (3, 1) - Action: TURN_LEFT       | Point: -46
Step 114: Pos (3, 0) - Action: MOVE            | Point: -47
Step 115: Pos (3, 0) - Action: TURN_LEFT       | Point: -47
Step 116: Pos (3, 0) - Action: TURN_LEFT       | Point: -47
Step 117: Pos (3, 1) - Action: MOVE            | Point: -48
Step 118: Pos (3, 1) - Action: TURN_LEFT       | Point: -48
Step 119: Pos (3, 1) - Action: TURN_LEFT       | Point: -48
Step 120: Pos (3, 0) - Action: MOVE            | Point: -49
Step 121: Pos (3, 0) - Action: TURN_LEFT       | Point: -49
Step 122: Pos (3, 0) - Action: TURN_LEFT       | Point: -49
Step 123: Pos (3, 1) - Action: MOVE            | Point: -50
Step 124: Pos (3, 1) - Action: TURN_LEFT       | Point: -50
Step 125: Pos (3, 1) - Action: TURN_LEFT       | Point: -50
Step 126: Pos (3, 0) - Action: MOVE            | Point: -51
Step 127: Pos (3, 0) - Action: TURN_LEFT       | Point: -51
Step 128: Pos (3, 0) - Action: TURN_LEFT       | Point: -51
Step 129: Pos (3, 1) - Action: MOVE            | Point: -52
Step 130: Pos (3, 1) - Action: TURN_LEFT       | Point: -52
Step 131: Pos (3, 1) - Action: TURN_LEFT       | Point: -52
Step 132: Pos (3, 0) - Action: MOVE            | Point: -53
Step 133: Pos (3, 0) - Action: TURN_LEFT       | Point: -53
Step 134: Pos (3, 0) - Action: TURN_LEFT       | Point: -53
Step 135: Pos (3, 1) - Action: MOVE            | Point: -54
Step 136: Pos (3, 1) - Action: TURN_LEFT       | Point: -54
Step 137: Pos (3, 1) - Action: TURN_LEFT       | Point: -54
Step 138: Pos (3, 0) - Action: MOVE            | Point: -55
Step 139: Pos (3, 0) - Action: TURN_LEFT       | Point: -55
Step 140: Pos (3, 0) - Action: TURN_LEFT       | Point: -55
Step 141: Pos (3, 1) - Action: MOVE            | Point: -56
Step 142: Pos (3, 1) - Action: TURN_LEFT       | Point: -56
Step 143: Pos (3, 1) - Action: TURN_LEFT       | Point: -56
Step 144: Pos (3, 0) - Action: MOVE            | Point: -57
Step 145: Pos (3, 0) - Action: TURN_LEFT       | Point: -57
Step 146: Pos (3, 0) - Action: TURN_LEFT       | Point: -57
Step 147: Pos (3, 1) - Action: MOVE            | Point: -58
Step 148: Pos (3, 1) - Action: TURN_LEFT       | Point: -58
Step 149: Pos (3, 1) - Action: TURN_LEFT       | Point: -58
Step 150: Pos (3, 0) - Action: MOVE            | Point: -59
Step 151: Pos (3, 0) - Action: TURN_LEFT       | Point: -59
Step 152: Pos (3, 0) - Action: TURN_LEFT       | Point: -59
Step 153: Pos (3, 1) - Action: MOVE            | Point: -60
Step 154: Pos (3, 1) - Action: TURN_LEFT       | Point: -60
Step 155: Pos (3, 1) - Action: TURN_LEFT       | Point: -60
Step 156: Pos (3, 0) - Action: MOVE            | Point: -61
Step 157: Pos (3, 0) - Action: TURN_LEFT       | Point: -61
Step 158: Pos (3, 0) - Action: TURN_LEFT       | Point: -61
Step 159: Pos (3, 1) - Action: MOVE            | Point: -62
Step 160: Pos (3, 1) - Action: TURN_LEFT       | Point: -62
Step 161: Pos (3, 1) - Action: TURN_LEFT       | Point: -62
Step 162: Pos (3, 0) - Action: MOVE            | Point: -63
Step 163: Pos (3, 0) - Action: TURN_LEFT       | Point: -63
Step 164: Pos (3, 0) - Action: TURN_LEFT       | Point: -63
Step 165: Pos (3, 1) - Action: MOVE            | Point: -64
Step 166: Pos (3, 1) - Action: TURN_LEFT       | Point: -64
Step 167: Pos (3, 1) - Action: TURN_LEFT       | Point: -64
Step 168: Pos (3, 0) - Action: MOVE            | Point: -65
Step 169: Pos (3, 0) - Action: TURN_LEFT       | Point: -65
Step 170: Pos (3, 0) - Action: TURN_LEFT       | Point: -65
Step 171: Pos (3, 1) - Action: MOVE            | Point: -66
Step 172: Pos (3, 1) - Action: TURN_LEFT       | Point: -66
Step 173: Pos (3, 1) - Action: TURN_LEFT       | Point: -66
Step 174: Pos (3, 0) - Action: MOVE            | Point: -67
Step 175: Pos (3, 0) - Action: TURN_LEFT       | Point: -67
Step 176: Pos (3, 0) - Action: TURN_LEFT       | Point: -67
Step 177: Pos (3, 1) - Action: MOVE            | Point: -68
Step 178: Pos (3, 1) - Action: TURN_LEFT       | Point: -68
Step 179: Pos (3, 1) - Action: TURN_LEFT       | Point: -68
Step 180: Pos (3, 0) - Action: MOVE            | Point: -69
Step 181: Pos (3, 0) - Action: TURN_LEFT       | Point: -69
Step 182: Pos (3, 0) - Action: TURN_LEFT       | Point: -69
Step 183: Pos (3, 1) - Action: MOVE            | Point: -70
Step 184: Pos (3, 1) - Action: TURN_LEFT       | Point: -70
Step 185: Pos (3, 1) - Action: TURN_LEFT       | Point: -70
Step 186: Pos (3, 0) - Action: MOVE            | Point: -71
Step 187: Pos (3, 0) - Action: TURN_LEFT       | Point: -71
Step 188: Pos (3, 0) - Action: TURN_LEFT       | Point: -71
Step 189: Pos (3, 1) - Action: MOVE            | Point: -72
Step 190: Pos (3, 1) - Action: TURN_LEFT       | Point: -72
Step 191: Pos (3, 1) - Action: TURN_LEFT       | Point: -72
Step 192: Pos (3, 0) - Action: MOVE            | Point: -73
Step 193: Pos (3, 0) - Action: TURN_LEFT       | Point: -73
Step 194: Pos (3, 0) - Action: TURN_LEFT       | Point: -73
Step 195: Pos (3, 1) - Action: MOVE            | Point: -74
Step 196: Pos (3, 1) - Action: TURN_LEFT       | Point: -74
Step 197: Pos (3, 1) - Action: TURN_LEFT       | Point: -74
Step 198: Pos (3, 0) - Action: MOVE            | Point: -75
Step 199: Pos (3, 0) - Action: TURN_LEFT       | Point: -75
Step 200: Pos (3, 0) - Action: TURN_LEFT       | Point: -75
Step 201: Pos (3, 1) - Action: MOVE            | Point: -76
Step 202: Pos (3, 1) - Action: TURN_LEFT       | Point: -76
Step 203: Pos (3, 1) - Action: TURN_LEFT       | Point: -76
Step 204: Pos (3, 0) - Action: MOVE            | Point: -77
Step 205: Pos (3, 0) - Action: TURN_LEFT       | Point: -77
Step 206: Pos (3, 0) - Action: TURN_LEFT       | Point: -77
Step 207: Pos (3, 1) - Action: MOVE            | Point: -78
Step 208: Pos (3, 1) - Action: TURN_LEFT       | Point: -78
Step 209: Pos (3, 1) - Action: TURN_LEFT       | Point: -78
Step 210: Pos (3, 0) - Action: MOVE            | Point: -79
Step 211: Pos (3, 0) - Action: TURN_LEFT       | Point: -79
Step 212: Pos (3, 0) - Action: TURN_LEFT       | Point: -79
Step 213: Pos (3, 1) - Action: MOVE            | Point: -80
Step 214: Pos (3, 1) - Action: TURN_LEFT       | Point: -80
Step 215: Pos (3, 1) - Action: TURN_LEFT       | Point: -80
Step 216: Pos (3, 0) - Action: MOVE            | Point: -81
Step 217: Pos (3, 0) - Action: TURN_LEFT       | Point: -81
Step 218: Pos (3, 0) - Action: TURN_LEFT       | Point: -81
Step 219: Pos (3, 1) - Action: MOVE            | Point: -82
Step 220: Pos (3, 1) - Action: TURN_LEFT       | Point: -82
Step 221: Pos (3, 1) - Action: TURN_LEFT       | Point: -82
Step 222: Pos (3, 0) - Action: MOVE            | Point: -83
Step 223: Pos (3, 0) - Action: TURN_LEFT       | Point: -83
Step 224: Pos (3, 0) - Action: TURN_LEFT       | Point: -83
Step 225: Pos (3, 1) - Action: MOVE            | Point: -84
Step 226: Pos (3, 1) - Action: TURN_LEFT       | Point: -84
Step 227: Pos (3, 1) - Action: TURN_LEFT       | Point: -84
Step 228: Pos (3, 0) - Action: MOVE            | Point: -85
Step 229: Pos (3, 0) - Action: TURN_LEFT       | Point: -85
Step 230: Pos (3, 0) - Action: TURN_LEFT       | Point: -85
Step 231: Pos (3, 1) - Action: MOVE            | Point: -86
Step 232: Pos (3, 1) - Action: TURN_LEFT       | Point: -86
Step 233: Pos (3, 1) - Action: TURN_LEFT       | Point: -86
Step 234: Pos (3, 0) - Action: MOVE            | Point: -87
Step 235: Pos (3, 0) - Action: TURN_LEFT       | Point: -87
Step 236: Pos (3, 0) - Action: TURN_LEFT       | Point: -87
Step 237: Pos (3, 1) - Action: MOVE            | Point: -88
Step 238: Pos (3, 1) - Action: TURN_LEFT       | Point: -88
Step 239: Pos (3, 1) - Action: TURN_LEFT       | Point: -88
Step 240: Pos (3, 0) - Action: MOVE            | Point: -89
Step 241: Pos (3, 0) - Action: TURN_LEFT       | Point: -89
Step 242: Pos (3, 0) - Action: TURN_LEFT       | Point: -89
Step 243: Pos (3, 1) - Action: MOVE            | Point: -90
Step 244: Pos (3, 1) - Action: TURN_LEFT       | Point: -90
Step 245: Pos (3, 1) - Action: TURN_LEFT       | Point: -90
Step 246: Pos (3, 0) - Action: MOVE            | Point: -91
Step 247: Pos (3, 0) - Action: TURN_LEFT       | Point: -91
Step 248: Pos (3, 0) - Action: TURN_LEFT       | Point: -91
Step 249: Pos (3, 1) - Action: MOVE            | Point: -92
Step 250: Pos (3, 1) - Action: TURN_LEFT       | Point: -92
Step 251: Pos (3, 1) - Action: TURN_LEFT       | Point: -92
Step 252: Pos (3, 0) - Action: MOVE            | Point: -93
Step 253: Pos (3, 0) - Action: TURN_LEFT       | Point: -93
Step 254: Pos (3, 0) - Action: TURN_LEFT       | Point: -93
Step 255: Pos (3, 1) - Action: MOVE            | Point: -94
Step 256: Pos (3, 1) - Action: TURN_LEFT       | Point: -94
Step 257: Pos (3, 1) - Action: TURN_LEFT       | Point: -94
Step 258: Pos (3, 0) - Action: MOVE            | Point: -95
Step 259: Pos (3, 0) - Action: TURN_LEFT       | Point: -95
Step 260: Pos (3, 0) - Action: TURN_LEFT       | Point: -95
Step 261: Pos (3, 1) - Action: MOVE            | Point: -96
Step 262: Pos (3, 1) - Action: TURN_LEFT       | Point: -96
Step 263: Pos (3, 1) - Action: TURN_LEFT       | Point: -96
Step 264: Pos (3, 0) - Action: MOVE            | Point: -97
Step 265: Pos (3, 0) - Action: TURN_LEFT       | Point: -97
Step 266: Pos (3, 0) - Action: TURN_LEFT       | Point: -97
Step 267: Pos (3, 1) - Action: MOVE            | Point: -98
Step 268: Pos (3, 1) - Action: TURN_LEFT       | Point: -98
Step 269: Pos (3, 1) - Action: TURN_LEFT       | Point: -98
Step 270: Pos (3, 0) - Action: MOVE            | Point: -99
Step 271: Pos (3, 0) - Action: TURN_LEFT       | Point: -99
Step 272: Pos (3, 0) - Action: TURN_LEFT       | Point: -99
Step 273: Pos (3, 1) - Action: MOVE            | Point: -100
Step 274: Pos (3, 1) - Action: TURN_LEFT       | Point: -100
Step 275: Pos (3, 1) - Action: TURN_LEFT       | Point: -100
Step 276: Pos (3, 0) - Action: MOVE            | Point: -101
Step 277: Pos (3, 0) - Action: TURN_LEFT       | Point: -101
Step 278: Pos (3, 0) - Action: TURN_LEFT       | Point: -101
Step 279: Pos (3, 1) - Action: MOVE            | Point: -102
Step 280: Pos (3, 1) - Action: TURN_LEFT       | Point: -102
Step 281: Pos (3, 1) - Action: TURN_LEFT       | Point: -102
Step 282: Pos (3, 0) - Action: MOVE            | Point: -103
Step 283: Pos (3, 0) - Action: TURN_LEFT       | Point: -103
Step 284: Pos (3, 0) - Action: TURN_LEFT       | Point: -103
Step 285: Pos (3, 1) - Action: MOVE            | Point: -104
Step 286: Pos (3, 1) - Action: TURN_LEFT       | Point: -104
Step 287: Pos (3, 1) - Action: TURN_LEFT       | Point: -104
Step 288: Pos (3, 0) - Action: MOVE            | Point: -105
Step 289: Pos (3, 0) - Action: TURN_LEFT       | Point: -105
Step 290: Pos (3, 0) - Action: TURN_LEFT       | Point: -105
Step 291: Pos (3, 1) - Action: MOVE            | Point: -106
Step 292: Pos (3, 1) - Action: TURN_LEFT       | Point: -106
Step 293: Pos (3, 1) - Action: TURN_LEFT       | Point: -106
Step 294: Pos (3, 0) - Action: MOVE            | Point: -107
Step 295: Pos (3, 0) - Action: TURN_LEFT       | Point: -107
Step 296: Pos (3, 0) - Action: TURN_LEFT       | Point: -107
Step 297: Pos (3, 1) - Action: MOVE            | Point: -108
Step 298: Pos (3, 1) - Action: TURN_LEFT       | Point: -108
Step 299: Pos (3, 1) - Action: TURN_LEFT       | Point: -108
Step 300: Pos (3, 0) - Action: MOVE            | Point: -109
Step 301: Pos (3, 0) - Action: TURN_LEFT       | Point: -109
Step 302: Pos (3, 0) - Action: TURN_LEFT       | Point: -109
Step 303: Pos (3, 1) - Action: MOVE            | Point: -110
Step 304: Pos (3, 1) - Action: TURN_LEFT       | Point: -110
Step 305: Pos (3, 1) - Action: TURN_LEFT       | Point: -110
Step 306: Pos (3, 0) - Action: MOVE            | Point: -111
Step 307: Pos (3, 0) - Action: TURN_LEFT       | Point: -111
Step 308: Pos (3, 0) - Action: TURN_LEFT       | Point: -111
Step 309: Pos (3, 1) - Action: MOVE            | Point: -112
Step 310: Pos (3, 1) - Action: TURN_LEFT       | Point: -112
Step 311: Pos (3, 1) - Action: TURN_LEFT       | Point: -112
Step 312: Pos (3, 0) - Action: MOVE            | Point: -113
Step 313: Pos (3, 0) - Action: TURN_LEFT       | Point: -113
Step 314: Pos (3, 0) - Action: TURN_LEFT       | Point: -113
Step 315: Pos (3, 1) - Action: MOVE            | Point: -114
Step 316: Pos (3, 1) - Action: TURN_LEFT       | Point: -114
Step 317: Pos (3, 1) - Action: TURN_LEFT       | Point: -114
Step 318: Pos (3, 0) - Action: MOVE            | Point: -115
Step 319: Pos (3, 0) - Action: TURN_LEFT       | Point: -115
Step 320: Pos (3, 0) - Action: TURN_LEFT       | Point: -115
Step 321: Pos (3, 1) - Action: MOVE            | Point: -116
Step 322: Pos (3, 1) - Action: TURN_LEFT       | Point: -116
Step 323: Pos (3, 1) - Action: TURN_LEFT       | Point: -116
Step 324: Pos (3, 0) - Action: MOVE            | Point: -117
Step 325: Pos (3, 0) - Action: TURN_LEFT       | Point: -117
Step 326: Pos (3, 0) - Action: TURN_LEFT       | Point: -117
Step 327: Pos (3, 1) - Action: MOVE            | Point: -118
Step 328: Pos (3, 1) - Action: TURN_LEFT       | Point: -118
Step 329: Pos (3, 1) - Action: TURN_LEFT       | Point: -118
Step 330: Pos (3, 0) - Action: MOVE            | Point: -119
Step 331: Pos (3, 0) - Action: TURN_LEFT       | Point: -119
Step 332: Pos (3, 0) - Action: TURN_LEFT       | Point: -119
Step 333: Pos (3, 1) - Action: MOVE            | Point: -120
Step 334: Pos (3, 1) - Action: TURN_LEFT       | Point: -120
Step 335: Pos (3, 1) - Action: TURN_LEFT       | Point: -120
Step 336: Pos (3, 0) - Action: MOVE            | Point: -121
Step 337: Pos (3, 0) - Action: TURN_LEFT       | Point: -121
Step 338: Pos (3, 0) - Action: TURN_LEFT       | Point: -121
Step 339: Pos (3, 1) - Action: MOVE            | Point: -122
Step 340: Pos (3, 1) - Action: TURN_LEFT       | Point: -122
Step 341: Pos (3, 1) - Action: TURN_LEFT       | Point: -122
Step 342: Pos (3, 0) - Action: MOVE            | Point: -123
Step 343: Pos (3, 0) - Action: TURN_LEFT       | Point: -123
Step 344: Pos (3, 0) - Action: TURN_LEFT       | Point: -123
Step 345: Pos (3, 1) - Action: MOVE            | Point: -124
Step 346: Pos (3, 1) - Action: TURN_LEFT       | Point: -124
Step 347: Pos (3, 1) - Action: TURN_LEFT       | Point: -124
Step 348: Pos (3, 0) - Action: MOVE            | Point: -125
Step 349: Pos (3, 0) - Action: TURN_LEFT       | Point: -125
Step 350: Pos (3, 0) - Action: TURN_LEFT       | Point: -125
Step 351: Pos (3, 1) - Action: MOVE            | Point: -126
Step 352: Pos (3, 1) - Action: TURN_LEFT       | Point: -126
Step 353: Pos (3, 1) - Action: TURN_LEFT       | Point: -126
Step 354: Pos (3, 0) - Action: MOVE            | Point: -127
Step 355: Pos (3, 0) - Action: TURN_LEFT       | Point: -127
Step 356: Pos (3, 0) - Action: TURN_LEFT       | Point: -127
Step 357: Pos (3, 1) - Action: MOVE            | Point: -128
Step 358: Pos (3, 1) - Action: TURN_LEFT       | Point: -128
Step 359: Pos (3, 1) - Action: TURN_LEFT       | Point: -128
Step 360: Pos (3, 0) - Action: MOVE            | Point: -129
Step 361: Pos (3, 0) - Action: TURN_LEFT       | Point: -129
Step 362: Pos (3, 0) - Action: TURN_LEFT       | Point: -129
Step 363: Pos (3, 1) - Action: MOVE            | Point: -130
Step 364: Pos (3, 1) - Action: TURN_LEFT       | Point: -130
Step 365: Pos (3, 1) - Action: TURN_LEFT       | Point: -130
Step 366: Pos (3, 0) - Action: MOVE            | Point: -131
Step 367: Pos (3, 0) - Action: TURN_LEFT       | Point: -131
Step 368: Pos (3, 0) - Action: TURN_LEFT       | Point: -131
Step 369: Pos (3, 1) - Action: MOVE            | Point: -132
Step 370: Pos (3, 1) - Action: TURN_LEFT       | Point: -132
Step 371: Pos (3, 1) - Action: TURN_LEFT       | Point: -132
Step 372: Pos (3, 0) - Action: MOVE            | Point: -133
Step 373: Pos (3, 0) - Action: TURN_LEFT       | Point: -133
Step 374: Pos (3, 0) - Action: TURN_LEFT       | Point: -133
Step 375: Pos (3, 1) - Action: MOVE            | Point: -134
Step 376: Pos (3, 1) - Action: TURN_LEFT       | Point: -134
Step 377: Pos (3, 1) - Action: TURN_LEFT       | Point: -134
Step 378: Pos (3, 0) - Action: MOVE            | Point: -135
Step 379: Pos (3, 0) - Action: TURN_LEFT       | Point: -135
Step 380: Pos (3, 0) - Action: TURN_LEFT       | Point: -135
Step 381: Pos (3, 1) - Action: MOVE            | Point: -136
Step 382: Pos (3, 1) - Action: TURN_LEFT       | Point: -136
Step 383: Pos (3, 1) - Action: TURN_LEFT       | Point: -136
Step 384: Pos (3, 0) - Action: MOVE            | Point: -137
Step 385: Pos (3, 0) - Action: TURN_LEFT       | Point: -137
Step 386: Pos (3, 0) - Action: TURN_LEFT       | Point: -137
Step 387: Pos (3, 1) - Action: MOVE            | Point: -138
Step 388: Pos (3, 1) - Action: TURN_LEFT       | Point: -138
Step 389: Pos (3, 1) - Action: TURN_LEFT       | Point: -138
Step 390: Pos (3, 0) - Action: MOVE            | Point: -139
Step 391: Pos (3, 0) - Action: TURN_LEFT       | Point: -139
Step 392: Pos (3, 0) - Action: TURN_LEFT       | Point: -139
Step 393: Pos (3, 1) - Action: MOVE            | Point: -140
Step 394: Pos (3, 1) - Action: TURN_LEFT       | Point: -140
Step 395: Pos (3, 1) - Action: TURN_LEFT       | Point: -140
Step 396: Pos (3, 0) - Action: MOVE            | Point: -141
Step 397: Pos (3, 0) - Action: TURN_LEFT       | Point: -141
Step 398: Pos (3, 0) - Action: TURN_LEFT       | Point: -141
Step 399: Pos (3, 1) - Action: MOVE            | Point: -142
Step 400: Pos (3, 1) - Action: TURN_LEFT       | Point: -142
